Sr_No,UPI_Beneficiary_Banks,Date,Approved_percent,Deemed_Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Total_Volume_In_Mn
18,Central Bank of India,2024-02-01 00:00:00,0.9484,0.0123,0.0045,0.0471,84.86
44,Baroda U.P. Bank,2023-06-01 00:00:00,0.9484,0.0087,0.0103,0.0326,7.56
49,Fincare Small Finance Bank,2023-09-01 00:00:00,0.9485,0.0042,0.0345,0.017,6.23
28,Fino Payments Bank,2022-07-01 00:00:00,0.9489,0.0048,0.0235,0.0228,15.3
29,Bandhan Bank,2024-01-01 00:00:00,0.9491,0.0046,0.0024,0.0485,28.56
32,DBS Bank,2022-03-01 00:00:00,0.9491,0.001,0.0129,0.0369,9.56
48,Andhra Pragathi Grameena Bank,2024-09-01 00:00:00,0.9493,0.004,0.0022,0.0484,9.63
22,Bank of Maharashtra,2023-03-01 00:00:00,0.9493,0.0039,0.0023,0.0445,42.71
45,Baroda U.P. Bank,2023-02-01 00:00:00,0.9498,0.002,0.024,0.0242,6.22
50,Karnataka Vikas Grameena Bank,2022-06-01 00:00:00,0.9499,0.0004,0.0299,0.0198,3.65
17,Central Bank of India,2022-08-01 00:00:00,0.9501,0.0119,0.0086,0.0413,57.79
40,DBS Bank,2022-12-01 00:00:00,0.9501,0.0017,0.0134,0.0348,8.49
50,Fincare Small Finance Bank,2024-07-01 00:00:00,0.9502,0.0002,0.0432,0.0065,9.16
50,Andhra Pragathi Grameena Bank,2024-06-01 00:00:00,0.9503,0.0012,0.0116,0.0381,9.05
40,Andhra Pradesh Grameena Vikas Bank,2023-02-01 00:00:00,0.9505,0.0088,0.003,0.0377,8.06
17,Central Bank of India,2022-06-01 00:00:00,0.9505,0.009,0.0068,0.0337,59.63
42,Maharashtra Gramin Bank,2023-03-01 00:00:00,0.9506,0.0032,0.0138,0.0324,8.42
49,Baroda Rajasthan Kshetriya Gramin Bank,2022-09-01 00:00:00,0.9509,0.0032,0.0205,0.0286,4.31
40,Jammu and Kashmir Bank,2022-05-01 00:00:00,0.9512,0.0008,0.02,0.028,6.46
49,Baroda Rajasthan Kshetriya Gramin Bank,2022-12-01 00:00:00,0.9513,0.0022,0.0239,0.0226,4.41
44,Rajasthan Marudhara Gramin Bank,2022-11-01 00:00:00,0.9514,0.0092,0.0045,0.0349,5.97
29,Fino Payments Bank,2022-02-01 00:00:00,0.9514,0.0007,0.0265,0.0214,9.9
42,Andhra Pradesh Grameena Vikas Bank,2024-07-01 00:00:00,0.9515,0.001,0.007,0.0414,13.16
43,ESAF Small Finance Bank Ltd,2024-01-01 00:00:00,0.9516,0.0058,0.0013,0.0471,10.37
49,Sarva Haryana Gramin Bank,2024-08-01 00:00:00,0.9516,0.0039,0.0036,0.0448,8.71
24,Karnataka Bank,2022-09-01 00:00:00,0.9517,0.0099,0.006,0.0422,29.06
41,Jammu and Kashmir Bank,2022-04-01 00:00:00,0.952,0.0019,0.0169,0.0293,5.59
17,India Post Payment Bank,2024-03-01 00:00:00,0.9521,0.0034,0.0041,0.0438,131.52
43,RBL,2022-04-01 00:00:00,0.9521,0.0017,0.0428,0.0034,5.02
38,Andhra Pradesh Grameena Vikas Bank,2023-05-01 00:00:00,0.9522,0.0029,0.0053,0.0396,9.92
44,RBL,2022-12-01 00:00:00,0.9522,0.009,0.014,0.0248,6.32
33,Ujjivan Small Finance Bank,2023-01-01 00:00:00,0.9524,0.0045,0.003,0.0401,12.16
28,Fino Payments Bank,2022-05-01 00:00:00,0.9524,0.0018,0.0239,0.0219,13.92
36,Kerala Gramin Bank,2024-11-01 00:00:00,0.9527,0.0149,0.0093,0.038,21.94
45,Baroda U.P. Bank,2023-03-01 00:00:00,0.9528,0.007,0.0233,0.0168,7.1
35,Tri O Tech Solutions Private Limited,2024-01-01 00:00:00,0.9528,0.0026,0.0412,0.006,17.98
50,Baroda Rajasthan Kshetriya Gramin Bank,2023-08-01 00:00:00,0.9532,0.0053,0.0263,0.0205,5.64
33,Tri O Tech Solutions Private Limited,2024-03-01 00:00:00,0.9535,0,0.046,0.0006,22.15
32,Tri O Tech Solutions Private Limited,2024-04-01 00:00:00,0.9536,0.0002,0.045,0.0015,23.07
39,Maharashtra Gramin Bank,2022-04-01 00:00:00,0.9537,0.0069,0.0036,0.0358,6.41
20,UCO Bank,2023-06-01 00:00:00,0.9538,0.0049,0.007,0.0343,54.91
24,Fino Payments Bank,2023-07-01 00:00:00,0.9542,0.0028,0.0111,0.0347,41.98
24,Karnataka Bank,2022-08-01 00:00:00,0.9543,0.0135,0.0059,0.0398,29.14
